source_id,title,model_ref,evidence_type,timestamp_or_section,summary,confidence,notes
ZLF-A001,"真正的底层之我在三和当老哥，做日结真的可以做一天玩三天吗？真相泪目",底层现场主义,supporting,unknown,"三和日结题材以具体劳动现场和个体处境切入，支持具体现场优先的观察框架。",high,"未记录精确时间点；后续需补 timestamp。"
ZLF-A001,"真正的底层之我在三和当老哥，做日结真的可以做一天玩三天吗？真相泪目",边缘样本优先,supporting,unknown,"关注主流叙事外的日结劳动者和低保障生活样本。",high,"不支持猎奇化或阶层羞辱。"
ZLF-A002,"真正的底层之《深圳三和大神不为人知的艰辛》（完结篇）",底层现场主义,supporting,unknown,"作为三和题材延续样本，支持同一社会空间的连续观察。",medium,"需补分段摘要来确认故事推进。"
ZLF-A002,"真正的底层之《深圳三和大神不为人知的艰辛》（完结篇）",边缘样本优先,supporting,unknown,"与 ZLF-A001 共同支持对低保障劳动空间的连续观察，而不是一次性猎奇。",medium,"不支持把所有底层题材都简化为三和样本。"
ZLF-A003,"全B站最惨的B友，26岁患癌症无亲人，在出租屋静静等死",边缘样本优先,boundary,unknown,"病痛和出租屋处境可支持边缘个体观察，但同时强化隐私和尊严边界。",high,"不能把病痛处境用于玩梗或苦难消费。"
ZLF-A003,"全B站最惨的B友，26岁患癌症无亲人，在出租屋静静等死",荒诞现实解构,unclear,unknown,"题材有强烈现实反差，但当前缺少短摘录和节奏证据，不能升级为 verified。",low,"candidate only。"
ZLF-A004,"广州黄埔区献血冠军，连续居住网吧长达10年",边缘样本优先,supporting,unknown,"长期居住网吧的个体样本支持对边缘空间和非典型生活方式的观察。",high,"需匿名化处理，不应提取可识别隐私。"
ZLF-A004,"广州黄埔区献血冠军，连续居住网吧长达10年",底层现场主义,supporting,unknown,"网吧作为具体空间承载人物处境，支持从场所、日常和生活代价进入。",medium,"不支持围观、挂人或空间猎奇。"
ZLF-A005,"老哥是如何炼成的？专访大神石头昔日挚友",采访中的弱控制,unclear,unknown,"人物关系链和访谈样本提示受访者经历可能承担叙事推进，但缺少逐段问答分析。",medium,"仍为 candidate，不能证明稳定采访方法。"
ZLF-A005,"老哥是如何炼成的？专访大神石头昔日挚友",边缘样本优先,supporting,unknown,"以老哥关系链切入人物处境，支持对边缘人物生态的观察。",medium,"不支持逼问隐私或替受访者下结论。"
ZLF-A006,"最后的三和，保安老刘的一天",底层现场主义,supporting,unknown,"以保安老刘的一天承载空间、工作和日常节奏，支持具体现场优先。",high,"需要补更精细时间点。"
ZLF-A006,"最后的三和，保安老刘的一天",内容判断四问,supporting,unknown,"标题和题材天然包含具体人、场所、生活矛盾和表达边界，适合作为选题四问样本。",high,"不支持凭空虚构老刘私人信息。"
ZLF-A007,"辍学老哥，从网管到期货交易员，30岁身价1000万后陷入巨大的虚无境地",荒诞现实解构,supporting,unknown,"从网管到高收入再到虚无的经历跨度提供强反差题材线索。",medium,"支持 candidate 线索，不足以证明稳定句式。"
ZLF-A007,"辍学老哥，从网管到期货交易员，30岁身价1000万后陷入巨大的虚无境地",内容判断四问,supporting,unknown,"人物、职业路径、财富反差和精神落差形成清晰选题判断入口。",medium,"不支持逼问财务细节或私人创伤。"
ZLF-A008,"缅甸妙瓦底克伦联军招待所吃播vlog",流量红线雷达,boundary,unknown,"高风险边境/灰产相关题材可用于传播张力和安全红线研究。",medium,"只能做风险评估和公开资料分析，不能给路线或联系人。"
ZLF-A008,"缅甸妙瓦底克伦联军招待所吃播vlog",自嘲式冒险人格,boundary,unknown,"危险现场题材存在，但不能转化为可激活人格或用户行动模板。",high,"rejected / unsafe pattern。"
ZLF-A009,"峰哥在乌克兰险些被乌克兰中国人绑架，现在还没脱险",流量红线雷达,boundary,unknown,"战争区域和人身安全叙事支持危险题材边界研究。",medium,"不提供接触方式、撤离建议或规避风险操作。"
